county,state,lat,lon,num_deaths
Abbeville,South Carolina,34.22255586603314,-82.45875420946479,112230.0
Acadia,Louisiana,30.290545374858038,-92.41199324935651,264966.0
Accomack,Virginia,37.76343633742462,-75.63031843417828,156000.0
Ada,Idaho,43.45109842221036,-116.24117375229687,1051980.0
Adair,Iowa,41.33075072625036,-94.47097866528796,22355.0
Adair,Kentucky,37.104171845286,-85.28063706292441,78080.0
Adair,Missouri,40.19059482385598,-92.60071538724752,79670.0
Adair,Oklahoma,35.88391694086332,-94.65866690851952,112200.0
Adams,Colorado,39.87363478377711,-104.33778193932288,1248344.0
Adams,Idaho,44.889598007224365,-116.4538382573752,0.0
Adams,Illinois,39.98787809506219,-91.18853522130516,232700.0
Adams,Indiana,40.74563522128108,-84.93661743200111,103680.0
Adams,Iowa,41.02898220866497,-94.69917904993,0.0
Adams,Mississippi,31.4828956206303,-91.35354668270854,170300.0
Adams,Nebraska,40.52448324506094,-98.50121797788904,109254.0
Adams,North Dakota,46.09684514366409,-102.52850461391876,0.0
Adams,Ohio,38.84562298951798,-83.47203375881202,137445.0
Adams,Pennsylvania,39.87150021488797,-77.2178776382755,317020.0
Adams,Washington,46.983392014706666,-118.56061171771996,45232.0
Adams,Wisconsin,43.96954174484608,-89.77039461186598,90896.0
Addison,Vermont,44.030918549534,-73.1408275307879,87100.0
Aiken,South Carolina,33.5443304759596,-81.63475715028261,716560.0
Aitkin,Minnesota,46.608235775997166,-93.41543403141937,64496.0
Alachua,Florida,29.674757216444668,-82.35772834033932,758970.0
Alamance,North Carolina,36.04373540609223,-79.39945477404711,590586.0
Alameda,California,37.64695977543178,-121.88876733100628,3547206.0
Alamosa,Colorado,37.57294140997638,-105.78837686339256,52118.0
Albany,New York,42.60018537017708,-73.97355697953981,886276.0
Albany,Wyoming,41.65452982958087,-105.72377921261288,67065.0
Albemarle,Virginia,38.02312280484617,-78.55556218262666,219114.0
Alcona,Michigan,44.68542892982078,-83.59370803672171,52416.0
Alcorn,Mississippi,34.88081620023034,-88.58026821750201,187750.0
Aleutians East Borough,Alaska,55.685432395210455,-161.24441210227857,0.0
Aleutians West Census Area,Alaska,53.667750327030696,-166.89042268432223,0.0
Alexander,Illinois,37.19152472307619,-89.3375672287475,32620.0
Alexander,North Carolina,35.921032881232726,-81.177026189698,151250.0
Alexandria city,Virginia,38.81842362231292,-77.08609715373639,247364.0
Alfalfa,Oklahoma,36.73104453470309,-98.32401657776644,17700.0
Alger,Michigan,46.406272245046544,-86.60253724712898,19936.0
Allamakee,Iowa,43.28429006079581,-91.3780586553572,44785.0
Allegan,Michigan,42.59128111899282,-85.8884441005884,355089.0
Allegany,Maryland,39.62146462751047,-78.69898092796342,279110.0
Allegany,New York,42.25741149004413,-78.02758907825604,165792.0
Alleghany,North Carolina,36.49129595819397,-81.1279191895704,47439.0
Alleghany,Virginia,37.78751120250003,-80.00679403558034,76304.0
Allegheny,Pennsylvania,40.46883654009484,-79.98119702623994,4442466.0
Allen,Indiana,41.09087832118709,-85.06657027219953,1244880.0
Allen,Kansas,37.88571814589966,-95.30138387695818,34773.0
Allen,Kentucky,36.75125721706145,-86.19042079264112,99330.0
Allen,Louisiana,30.65293423320336,-92.82792611642412,111281.0
Allen,Ohio,40.771547646568,-84.10579637307336,377244.0
Allendale,South Carolina,32.98815924435532,-81.3583036596758,52328.0
Alpena,Michigan,45.03475164317221,-83.62683773616217,105434.0
Alpine,California,38.59720402225429,-119.820679847404,0.0
Amador,California,38.44639526493973,-120.65110288122308,137540.0
Amelia,Virginia,37.33600276068638,-77.97613562915129,62484.0
Amherst,Virginia,37.60477925054989,-79.14511363796593,120228.0
Amite,Mississippi,31.17443165992795,-90.80442426821902,63000.0
Anchorage,Alaska,61.15077639111757,-149.10498601796598,858404.0
Anderson,Kansas,38.214191254489805,-95.29334838350864,26250.0
Anderson,Kentucky,38.003921498876124,-84.99099679587955,100492.0
Anderson,South Carolina,34.51910493049556,-82.63789118470318,874500.0
Anderson,Tennessee,36.11845948931101,-84.19846310219036,355940.0
Anderson,Texas,31.813323796423173,-95.65254536967689,280240.0
Andrew,Missouri,39.98351313028222,-94.80207883102268,48790.0
Andrews,Texas,32.30503570174844,-102.6377463589688,44100.0
Androscoggin,Maine,44.16579916910862,-70.2064726362804,398784.0
Angelina,Texas,31.25477806089921,-94.61186105934826,349250.0
Anne Arundel,Maryland,39.00647368900904,-76.60507070759651,1681833.0
Anoka,Minnesota,45.27326507303314,-93.24648524354056,844830.0
Anson,North Carolina,34.97382062791041,-80.10269568884274,127239.0
Antelope,Nebraska,42.17691524209337,-98.06669429818297,17500.0
Antrim,Michigan,44.99908872497329,-85.14023572265098,79000.0
Apache,Arizona,35.39553038987337,-109.488833225248,335664.0
Appanoose,Iowa,40.74317820996767,-92.8686346441414,51308.0
Appling,Georgia,31.74922887855687,-82.28891516620772,82250.0
Appomattox,Virginia,37.37222987962482,-78.81214753513164,59049.0
Aransas,Texas,28.231785052307423,-96.94047382185182,120048.0
Arapahoe,Colorado,39.6497070870396,-104.3383570373896,1416788.0
Archer,Texas,33.61522582488765,-98.68764801597172,25500.0
Archuleta,Colorado,37.19354205384855,-107.0482959722776,38500.0
Arenac,Michigan,44.06470638594182,-83.89455543452434,68724.0
Arkansas,Arkansas,34.29081528830197,-91.37491716444136,91364.0
Arlington,Virginia,38.87861513996035,-77.1011016943769,289713.0
Armstrong,Pennsylvania,40.81231246448679,-79.4645312707341,284160.0
Armstrong,Texas,34.9649527020908,-101.3573899720182,0.0
